"objid","modelmag_u","modelmag_g","modelmag_r","modelmag_i","modelmag_z","z"
"1237671991339385123","20.388","19.58484","19.56822","19.62369","19.38967","2.461585"
"1237671991339450442","21.3531","20.71186","20.67908","20.76878","20.79425","2.567093"
"1237671991339254495","22.43472","21.63258","21.74903","21.75474","21.69214","2.304356"
"1237671991339188578","21.40348","20.19349","19.95823","19.93937","19.77211","2.559926"
"1237671990802645338","22.23168","21.27426","21.19197","21.09254","20.67353","1.153544"
"1237671990802580366","23.20712","21.96315","22.29936","21.74995","21.43936","2.322948"
"1237671956979974823","24.08647","22.12834","22.02913","22.38669","22.25906","0.7291756"
"1237671956979843753","22.46558","21.2714","20.44847","20.04688","19.55695","2.533118"
"1237671956979908871","21.25544","20.64838","20.44349","20.44094","20.36884","2.619056"
"1237671956979843534","23.80773","21.05951","20.93405","21.02577","21.22214","2.909756"
"1237671991339188548","21.80413","21.20766","21.26244","21.20436","21.84064","2.324804"
"1237671991339188689","24.21753","21.21336","20.82569","20.70466","20.93201","3.369694"
"1237671990802710654","20.83927","19.89644","19.84348","19.68386","19.74167","2.698228"
"1237655126624960755","21.47538","20.89688","20.95824","20.80784","20.6679","2.335828"
"1237654881802519258","21.7543","20.72258","19.89655","19.14807","19.04521","0.4905269"
"1237654880728711513","20.98997","20.18377","20.39161","20.26836","19.7783","2.421946"
"1237654880728712039","23.49557","21.3973","21.31418","21.44912","21.42523","2.895612"
"1237655126087958982","22.47284","21.50367","21.41023","21.13107","21.00263","2.311522"
"1237655126087958841","22.02631","20.77328","20.3971","20.03835","19.71457","2.850615"
"1237654881265582199","19.94952","19.42098","19.45654","19.44991","19.27139","2.332814"
"1237654880728580380","22.08421","21.29645","19.87069","19.08232","18.67159","0.4940827"
"1237654881802453231","22.0564","20.30681","20.12238","20.18167","20.33737","3.002119"
"1237661970116575266","20.32903","19.67102","19.38279","19.3621","19.22203","2.528585"
"1237655126624698944","22.36352","21.90698","20.85935","19.98165","19.69944","0.6275604"
"1237655126624567633","21.67138","21.29802","21.20443","21.00784","20.7281","2.183884"
"1237655126624567604","22.12508","21.31362","21.18274","21.23815","20.73376","2.499627"
"1237655126624567318","18.63651","18.03492","17.97119","17.97123","17.80991","2.447569"
"1237654881802191100","21.83144","21.0959","21.19753","21.30979","20.73999","2.523565"
"1237661970653118792","23.37254","21.40184","20.77346","20.35588","19.91036","1.792319"
"1237661974404203062","22.8131","21.74756","21.54128","21.61725","21.58335","2.774584"
"1237661970653184649","24.93131","20.98092","20.52014","20.38511","20.39727","3.068827"
"1237655126090384094","25.11786","21.646","21.24824","21.70482","21.59093","3.138257"
"1237655126090383737","20.90489","20.50578","20.62951","20.5101","20.05586","2.235637"
"1237655126090318670","24.33805","22.02405","21.84847","22.30329","22.45788","2.854879"
