"objid","modelmag_u","modelmag_g","modelmag_r","modelmag_i","modelmag_z","z"
"1237648722291327202","20.24182","18.6184","17.93751","17.65176","17.45111","0.0003275427"
"1237648722828066974","22.43314","20.43366","19.24841","18.70496","18.40067","0.0001775536"
"1237648721754914828","18.73226","17.57862","17.17062","17.02535","16.97343","-0.0001214392"
"1237648721754914965","21.38095","18.66405","17.33795","16.76271","16.42414","8.311631E-05"
"1237648722828591174","18.03662","16.98351","16.61516","16.47126","16.44409","0.0004934645"
"1237651801235718170","18.54814","17.38242","17.10369","17.02532","17.02097","0.0008099145"
"1237651752388067339","19.87263","18.47583","17.96686","17.76502","17.8837","0.0005308411"
"1237651752388132923","18.02394","16.94776","16.49885","16.3174","16.25291","1.12422E-05"
"1237654671347679384","20.87202","19.55585","18.98071","18.7475","18.63784","0.0002309681"
"1237654670811005004","18.21126","17.29839","16.94389","16.82313","16.78694","-0.0001201667"
"1237651799625695343","18.35343","17.08666","16.61223","16.43536","16.39014","0.0001219649"
"1237648720146071630","18.35593","17.09747","16.64147","16.46803","16.40856","0.0001067419"
"1237654669737984215","22.22512","19.25106","17.81779","16.94222","16.52821","5.919856E-05"
"1237648721220009986","19.13087","17.76954","17.2544","17.02957","16.9635","1.212332E-05"
"1237654669200785552","20.3904","18.04935","16.99902","16.60476","16.32967","0.0001157494"
"1237648720682942495","18.91792","17.81902","17.76109","17.75961","17.79639","3.180137E-05"
"1237648721219879128","20.68734","18.32072","17.31654","16.92328","16.70835","5.331401E-05"
"1237651800699437193","19.22426","18.12488","18.03693","18.07181","18.15064","0.0008087558"
"1237654668663849097","17.41231","16.3163","15.92389","15.75217","15.69542","0.0002359598"
"1237648722293620969","22.62826","20.12755","18.60081","17.82628","17.36308","0.0001528032"
"1237648722830754122","21.6129","20.8898","20.63954","20.05179","19.45436","-0.0004407459"
"1237648722293948593","19.60349","18.00184","17.42548","17.25718","17.18861","-8.780402E-05"
"1237648721757077512","17.59656","16.45986","16.03699","15.87612","15.83298","0.000271729"
"1237648722294013956","18.27549","17.13985","16.75728","16.6209","16.55912","0.0003122729"
"1237654670276558877","17.69299","16.46461","16.34915","16.36364","16.42924","-2.774213E-05"
"1237654669203210947","25.06498","22.6612","21.20897","20.08954","19.36806","0.0004848106"
"1237654669203341319","18.27757","17.11443","16.70599","16.57374","16.5323","0.0003900467"
"1237654668666404896","18.07006","16.73158","16.85902","16.9705","17.02494","0.0005643345"
"1237654669203472388","18.8123","17.73496","17.32841","17.1848","17.15741","6.622531E-05"
"1237654669203079215","22.35818","19.41088","17.83388","17.24004","16.9135","-2.411012E-05"
"1237654669740212263","22.36484","19.98268","18.9258","18.07955","17.68788","0.0001853075"
"1237648720148168875","18.95628","17.73277","17.2434","17.04211","16.96518","-0.0002425783"
"1237648721759240361","19.65659","18.85763","17.65486","17.44869","17.343","0.0003738052"
"1237654671351021738","19.71706","18.44161","18.15666","18.05176","17.99267","0.0008635902"
"1237648721759436834","17.87611","16.75256","16.37082","16.23594","16.18406","-3.347722E-05"
"1237648721759567898","17.84553","16.82906","16.75385","16.88843","16.94442","0.000211516"
"1237654670814347310","16.0447","14.9417","14.42419","14.80841","14.66638","0.0006531103"
"1237654670814412924","19.14672","17.88664","17.63626","17.57507","17.54032","0.0006842613"
"1237654670814478466","20.11495","17.50846","16.41219","16.01455","15.81732","0.0001088934"
"1237654671351349403","20.87204","18.39154","17.19805","16.63841","16.30997","0.0002333385"
"1237648722833375273","18.09561","16.98192","16.5934","16.46099","16.39521","6.930115E-05"
"1237648722833310158","24.38751","22.69461","21.44798","19.48981","18.78668","0.000182628"
